data-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
assumed-size-spec-list	{_EMTPTY_: '' (TERMINAL), ASTERIK: '*' (TERMINAL), COMMA: ',' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
stop-stmt	{NAME_LITERAL: 'STOP' (TERMINAL) }
target-decl	{NAME_LITERAL: '' (TERMINAL) }
type-attr-spec-list	{NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'EXTENDS' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
83_group_autogen	{COMMA: ',' (TERMINAL) }
length-selector	{LEFT_PARENTHESIS: '(' (TERMINAL), ASTERIK: '*' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
sync-stat-list	{NAME_LITERAL: 'STAT' (TERMINAL), NAME_LITERAL: 'ERRMSG' (TERMINAL) }
45_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL), COLON: ':' (TERMINAL) }
dummy-arg-list	{NAME_LITERAL: '' (TERMINAL), ASTERIK: '*' (TERMINAL) }
23_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
5_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
45_group_autogen	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
output-item	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
23_opt_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
common-stmt	{NAME_LITERAL: 'COMMON' (TERMINAL) }
else-if-constructs	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'ELSE' (TERMINAL), NAME_LITERAL: 'ELSEIF' (TERMINAL) }
31_opt_autogen	{DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
19_group_autogen	{COMMA: ',' (TERMINAL) }
module-stmt	{NAME_LITERAL: 'MODULE' (TERMINAL) }
23_group_autogen	{COMMA: ',' (TERMINAL) }
wait-spec-list	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'EOR' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'ID' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
input-item-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
35_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
end-block-data-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDBLOCK' (TERMINAL), NAME_LITERAL: 'ENDBLOCKDATA' (TERMINAL) }
wait-spec	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'EOR' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'ID' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
16_group_autogen	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
69_group_autogen	{CHAR_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), NAME_LITERAL: 'I' (TERMINAL), NAME_LITERAL: 'B' (TERMINAL), NAME_LITERAL: 'O' (TERMINAL), NAME_LITERAL: 'Z' (TERMINAL), NAME_LITERAL: 'F' (TERMINAL), NAME_LITERAL: 'E' (TERMINAL), NAME_LITERAL: 'EN' (TERMINAL), NAME_LITERAL: 'ES' (TERMINAL), NAME_LITERAL: 'G' (TERMINAL), NAME_LITERAL: 'L' (TERMINAL), NAME_LITERAL: 'A' (TERMINAL), NAME_LITERAL: 'D' (TERMINAL), NAME_LITERAL: 'DT' (TERMINAL), _EMTPTY_: '' (TERMINAL), SLASH: '/' (TERMINAL), COLON: ':' (TERMINAL), COMMA: ',' (TERMINAL), NAME_LITERAL: 'T' (TERMINAL), NAME_LITERAL: 'TL' (TERMINAL), NAME_LITERAL: 'TR' (TERMINAL), NAME_LITERAL: 'SS' (TERMINAL), NAME_LITERAL: 'SP' (TERMINAL), NAME_LITERAL: 'S' (TERMINAL), NAME_LITERAL: 'BN' (TERMINAL), NAME_LITERAL: 'BZ' (TERMINAL), NAME_LITERAL: 'RU' (TERMINAL), NAME_LITERAL: 'RD' (TERMINAL), NAME_LITERAL: 'RZ' (TERMINAL), NAME_LITERAL: 'RN' (TERMINAL), NAME_LITERAL: 'RC' (TERMINAL), NAME_LITERAL: 'RP' (TERMINAL), NAME_LITERAL: 'DC' (TERMINAL), NAME_LITERAL: 'DP' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
alloc-opt-list	{NAME_LITERAL: 'ERRMSG' (TERMINAL), NAME_LITERAL: 'MOLD' (TERMINAL), NAME_LITERAL: 'SOURCE' (TERMINAL), NAME_LITERAL: 'STAT' (TERMINAL) }
49_group_autogen	{COMMA: ',' (TERMINAL) }
rename	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'OPERATOR' (TERMINAL) }
21_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
bind-entity-list	{NAME_LITERAL: '' (TERMINAL), SLASH: '/' (TERMINAL) }
defined-operator	{DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), ASTERIK: '*' (TERMINAL), SLASH: '/' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), EQ: '' (TERMINAL), NE: '' (TERMINAL), LT: '' (TERMINAL), LE: '' (TERMINAL), GT: '' (TERMINAL), GE: '' (TERMINAL), EQUALS: '=' (TERMINAL), LESS_THAN: '<' (TERMINAL), GREATER_THAN: '>' (TERMINAL), NOT: '' (TERMINAL), AND: '' (TERMINAL), OR: '' (TERMINAL), EQV: '' (TERMINAL), NEQV: '' (TERMINAL) }
equivalence-stmt	{NAME_LITERAL: 'EQUIVALENCE' (TERMINAL) }
1_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
procedure-declaration-stmt	{NAME_LITERAL: 'PROCEDURE' (TERMINAL) }
main-program	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'PROGRAM' (TERMINAL), NAME_LITERAL: 'USE' (TERMINAL), NAME_LITERAL: 'IMPORT' (TERMINAL), NAME_LITERAL: 'CONTAINS' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'IMPLICIT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'ENUM' (TERMINAL), NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL), NAME_LITERAL: 'ALLOCATABLE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'CODIMENSION' (TERMINAL), NAME_LITERAL: 'COMMON' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'DIMENSION' (TERMINAL), NAME_LITERAL: 'EQUIVALENCE' (TERMINAL), NAME_LITERAL: 'EXTERNAL' (TERMINAL), NAME_LITERAL: 'INTENT' (TERMINAL), NAME_LITERAL: 'INTRINSIC' (TERMINAL), NAME_LITERAL: 'NAMELIST' (TERMINAL), NAME_LITERAL: 'OPTIONAL' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PROTECTED' (TERMINAL), NAME_LITERAL: 'SAVE' (TERMINAL), NAME_LITERAL: 'TARGET' (TERMINAL), NAME_LITERAL: 'VOLATILE' (TERMINAL), NAME_LITERAL: 'VALUE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
end-forall-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFORALL' (TERMINAL) }
implicit-spec-list	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
close-stmt	{NAME_LITERAL: 'CLOSE' (TERMINAL) }
allocate-coshape-spec-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
else-if-construct	{NAME_LITERAL: 'ELSE' (TERMINAL), NAME_LITERAL: 'ELSEIF' (TERMINAL) }
24_group_autogen	{COMMA: ',' (TERMINAL) }
declaration-construct	{NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'ENUM' (TERMINAL), NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL), NAME_LITERAL: 'ALLOCATABLE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'CODIMENSION' (TERMINAL), NAME_LITERAL: 'COMMON' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'DIMENSION' (TERMINAL), NAME_LITERAL: 'EQUIVALENCE' (TERMINAL), NAME_LITERAL: 'EXTERNAL' (TERMINAL), NAME_LITERAL: 'INTENT' (TERMINAL), NAME_LITERAL: 'INTRINSIC' (TERMINAL), NAME_LITERAL: 'NAMELIST' (TERMINAL), NAME_LITERAL: 'OPTIONAL' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PROTECTED' (TERMINAL), NAME_LITERAL: 'SAVE' (TERMINAL), NAME_LITERAL: 'TARGET' (TERMINAL), NAME_LITERAL: 'VOLATILE' (TERMINAL), NAME_LITERAL: 'VALUE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
initial-proc-target	{NAME_LITERAL: '' (TERMINAL) }
external-stmt	{NAME_LITERAL: 'EXTERNAL' (TERMINAL) }
saved-entity	{NAME_LITERAL: '' (TERMINAL), SLASH: '/' (TERMINAL) }
only-list	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'OPERATOR' (TERMINAL), NAME_LITERAL: 'ASSIGNMENT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL) }
36_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL) }
common-block-object-list	{NAME_LITERAL: '' (TERMINAL) }
end-select-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDSELECT' (TERMINAL) }
else-construct	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'ELSE' (TERMINAL) }
and-op	{AND: '' (TERMINAL) }
deferred-coshape-spec	{COLON: ':' (TERMINAL) }
equivalence-object-list	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
21_group_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL) }
contiguous-stmt	{NAME_LITERAL: 'CONTIGUOUS' (TERMINAL) }
unlock-stmt	{NAME_LITERAL: 'UNLOCK' (TERMINAL) }
prefix	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'ELEMENTAL' (TERMINAL), NAME_LITERAL: 'IMPURE' (TERMINAL), NAME_LITERAL: 'MODULE' (TERMINAL), NAME_LITERAL: 'PURE' (TERMINAL), NAME_LITERAL: 'RECURSIVE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
array-spec	{COLON: ':' (TERMINAL), _EMTPTY_: '' (TERMINAL), ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
10_opt_autogen	{COLON: ':' (TERMINAL), _EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'OPERATOR' (TERMINAL), NAME_LITERAL: 'ASSIGNMENT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL) }
where-construct-body	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'ELSE' (TERMINAL), NAME_LITERAL: 'ELSEWHERE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
forall-body-constructs	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
component-spec-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
entry-stmt	{NAME_LITERAL: 'ENTRY' (TERMINAL) }
block-stmt	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL) }
substring-range	{_EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
case-value-range-list	{COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
and-operand	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
name-list1_opt_autogen	{NAME_LITERAL: '' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
loop-control	{COMMA: ',' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'WHILE' (TERMINAL), NAME_LITERAL: 'CONCURRENT' (TERMINAL) }
access-stmt	{NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
initialization	{EQUALS: '=' (TERMINAL) }
